feature,bin,woe,events,non_events,event_rate,points
prev_avg_days_decision,"(-230.75, 0.0]",0.0155,2518,28232,0.0819,7
prev_most_recent_app,"(-2922.001, -2700.0]",-0.3123,1859,28927,0.0604,9
prev_most_recent_app,"(-2700.0, -2483.0]",-0.1953,2073,28696,0.0674,8
prev_most_recent_app,"(-2483.0, -2187.0]",-0.1433,2175,28583,0.0707,8
prev_most_recent_app,"(-2187.0, -1778.0]",-0.1431,2174,28565,0.0707,8
prev_most_recent_app,"(-1778.0, -1408.0]",-0.0194,2437,28293,0.0793,7
prev_most_recent_app,"(-1408.0, -1036.0]",0.0032,2491,28274,0.081,7
prev_most_recent_app,"(-1036.0, -748.0]",0.14,2822,27936,0.0917,7
prev_most_recent_app,"(-748.0, -524.0]",0.2693,3168,27559,0.1031,6
prev_most_recent_app,"(-524.0, -303.0]",0.2575,3147,27700,0.102,6
prev_most_recent_app,"(-303.0, 0.0]",0.0027,2479,28153,0.0809,7
prev_credit_to_app_ratio,"(-0.001, 0.847]",-0.3602,1775,28977,0.0577,8
prev_credit_to_app_ratio,"(0.847, 0.934]",-0.2839,1907,28844,0.062,8
prev_credit_to_app_ratio,"(0.934, 0.974]",-0.2262,2013,28740,0.0655,7
prev_credit_to_app_ratio,"(0.974, 1.0]",-0.1068,3526,44677,0.0731,7
prev_credit_to_app_ratio,"(1.0, 1.013]",-0.2193,876,12421,0.0659,7
prev_credit_to_app_ratio,"(1.013, 1.038]",-0.1317,2198,28553,0.0715,7
prev_credit_to_app_ratio,"(1.038, 1.06]",0.0394,2574,28177,0.0837,7
prev_credit_to_app_ratio,"(1.06, 1.087]",0.1488,2844,27907,0.0925,7
prev_credit_to_app_ratio,"(1.087, 1.121]",0.2886,3226,27525,0.1049,7
prev_credit_to_app_ratio,"(1.121, 10.18]",0.499,3886,26865,0.1264,7
prev_revolving_loan_count,"(-0.001, 1.0]",-0.053,21110,253472,0.0769,7
prev_revolving_loan_count,"(1.0, 2.0]",0.289,2187,18654,0.1049,8
prev_revolving_loan_count,"(2.0, 31.0]",0.4994,1528,10560,0.1264,8
prev_app_count,"(-0.001, 1.0]",-0.0375,5380,63607,0.078,7
prev_app_count,"(1.0, 2.0]",-0.0293,3599,42200,0.0786,7
prev_app_count,"(2.0, 3.0]",-0.0356,3126,36888,0.0781,7
prev_app_count,"(3.0, 4.0]",-0.0707,2490,30432,0.0756,8
prev_app_count,"(4.0, 6.0]",-0.0221,3774,43937,0.0791,7
prev_app_count,"(6.0, 7.0]",0.0207,1348,15036,0.0823,7
prev_app_count,"(7.0, 10.0]",0.06,2575,27614,0.0853,7
prev_app_count,"(10.0, 73.0]",0.2276,2533,22972,0.0993,6
bur_max_dpd_status,"(-0.001, 1.0]",-0.0043,24216,276929,0.0804,7
bur_max_dpd_status,"(1.0, 5.0]",0.1861,609,5757,0.0957,7
bur_avg_months_history,"(-0.001, 18.0]",0.0489,20800,225552,0.0844,7
bur_avg_months_history,"(18.0, 32.25]",-0.0687,2308,28150,0.0758,7
bur_avg_months_history,"(32.25, 97.0]",-0.3937,1717,28984,0.0559,7
bur_total_dpd_months,"(-0.001, 1.0]",-0.0231,22485,262021,0.079,7
bur_total_dpd_months,"(1.0, 396.0]",0.2542,2340,20665,0.1017,7
bur_avg_days_credit,"(-2922.001, -1746.167]",-0.5117,1538,29214,0.05,10
bur_avg_days_credit,"(-1746.167, -1464.1]",-0.4873,1574,29178,0.0512,10
bur_avg_days_credit,"(-1464.1, -1270.0]",-0.3811,1741,29022,0.0566,9
bur_avg_days_credit,"(-1270.0, -1098.5]",-0.2651,1941,28812,0.0631,9
bur_avg_days_credit,"(-1098.5, -927.6]",-0.1495,2161,28577,0.0703,8
bur_avg_days_credit,"(-927.6, -747.444]",-0.001,2480,28269,0.0807,7
bur_avg_days_credit,"(-747.444, -542.0]",0.1707,2902,27860,0.0943,6
bur_avg_days_credit,"(-542.0, -285.5]",0.3906,3532,27215,0.1149,5
bur_avg_days_credit,"(-285.5, 0.0]",0.3732,6956,54539,0.1131,5
bur_most_recent_credit,"(-2922.001, -1076.0]",-0.341,1808,28953,0.0588,7
bur_most_recent_credit,"(-1076.0, -658.0]",-0.4651,1610,29190,0.0523,7
bur_most_recent_credit,"(-658.0, -448.0]",-0.3005,1882,28943,0.0611,7
bur_most_recent_credit,"(-448.0, -328.0]",-0.2342,2005,28855,0.065,7
bur_most_recent_credit,"(-328.0, -239.0]",-0.0903,2297,28627,0.0743,7
bur_most_recent_credit,"(-239.0, -171.0]",0.0884,2665,27779,0.0875,7
bur_most_recent_credit,"(-171.0, -109.0]",0.1044,2733,28037,0.0888,7
bur_most_recent_credit,"(-109.0, -48.0]",0.2399,3113,27886,0.1004,8
bur_most_recent_credit,"(-48.0, 0.0]",0.3397,6712,54416,0.1098,8
bur_avg_overdue,"(-0.001, 1617403.5]",0.0,24825,282686,0.0807,7
inst_late_rate_1y,"(-0.001, 0.0256]",-0.1351,17536,228561,0.0713,11
inst_late_rate_1y,"(0.0256, 0.143]",0.3274,3449,28309,0.1086,-2
inst_late_rate_1y,"(0.143, 1.0]",0.527,3840,25816,0.1295,-8
YEARS_EMPLOYED,"(-0.001, 1.074]",0.3349,3364,27406,0.1093,9
YEARS_EMPLOYED,"(1.074, 2.052]",0.3868,3526,27273,0.1145,9
YEARS_EMPLOYED,"(2.052, 3.101]",0.3109,3290,27453,0.107,9
YEARS_EMPLOYED,"(3.101, 4.375]",0.2116,3005,27692,0.0979,8
YEARS_EMPLOYED,"(4.375, 4.515]",-0.3866,3293,55196,0.0563,6
YEARS_EMPLOYED,"(4.515, 4.644]",0.1792,291,2770,0.0951,8
YEARS_EMPLOYED,"(4.644, 6.471]",0.0271,2542,28172,0.0828,7
YEARS_EMPLOYED,"(6.471, 8.852]",-0.1253,2211,28538,0.0719,7
YEARS_EMPLOYED,"(8.852, 13.373]",-0.3218,1840,28906,0.0598,6
YEARS_EMPLOYED,"(13.373, 49.074]",-0.5639,1463,29280,0.0476,5
AGE_YEARS,"(20.517, 28.175]",0.3987,3558,27194,0.1157,8
AGE_YEARS,"(28.175, 32.038]",0.3412,3382,27378,0.1099,8
AGE_YEARS,"(32.038, 36.0]",0.2136,3015,27730,0.0981,8
AGE_YEARS,"(36.0, 39.496]",0.1007,2723,28036,0.0885,7
AGE_YEARS,"(39.496, 43.151]",-0.023,2430,28315,0.079,7
AGE_YEARS,"(43.151, 47.178]",-0.0381,2398,28366,0.0779,7
AGE_YEARS,"(47.178, 51.74]",-0.1336,2193,28540,0.0714,7
AGE_YEARS,"(51.74, 56.093]",-0.2598,1951,28807,0.0634,7
AGE_YEARS,"(56.093, 60.77]",-0.4262,1668,29089,0.0542,7
AGE_YEARS,"(60.77, 69.121]",-0.5326,1507,29231,0.049,7
inst_max_delay_1y,"(-392.001, -10.0]",-0.294,1995,30483,0.0614,8
inst_max_delay_1y,"(-10.0, -5.0]",-0.2467,2097,30561,0.0642,8
inst_max_delay_1y,"(-5.0, -1.0]",-0.2781,2395,36015,0.0624,8
inst_max_delay_1y,"(-1.0, 0.0]",-0.0455,10977,130809,0.0774,7
inst_max_delay_1y,"(0.0, 1.0]",0.1418,1184,11700,0.0919,7
inst_max_delay_1y,"(1.0, 4.0]",0.2646,2440,21325,0.1027,7
inst_max_delay_1y,"(4.0, 340.0]",0.6692,3737,21793,0.1464,7
inst_avg_delay_1y,"(-415.001, -19.7]",-0.1795,2104,28668,0.0684,8
inst_avg_delay_1y,"(-19.7, -13.455]",-0.2115,2040,28700,0.0664,8
inst_avg_delay_1y,"(-13.455, -10.077]",-0.1017,2261,28502,0.0735,8
inst_avg_delay_1y,"(-10.077, -7.5]",0.0205,2573,28704,0.0823,7
inst_avg_delay_1y,"(-7.5, -5.174]",0.0723,2606,27605,0.0863,7
inst_avg_delay_1y,"(-5.174, -2.944]",0.1486,2843,27902,0.0925,7
inst_avg_delay_1y,"(-2.944, 0.0]",0.0284,10046,111196,0.0829,7
inst_avg_delay_1y,"(0.0, 159.462]",1.0455,352,1409,0.1999,5
pos_max_dpd_6m,"(-0.001, 4231.0]",0.0,24825,282686,0.0807,7
pos_avg_dpd_6m,"(-0.001, 4155.667]",0.0,24825,282686,0.0807,7
pos_late_rate_6m,"(-0.001, 1.0]",0.0,24825,282686,0.0807,7
cc_avg_utilization_6m,"(-0.001, 0.0868]",-0.0814,20727,256033,0.0749,8
cc_avg_utilization_6m,"(0.0868, 4.488]",0.5601,4098,26653,0.1333,1
debt_to_income,"(-15.516, 0.0]",-0.1132,8898,113467,0.0727,7
debt_to_income,"(0.0, 0.00385]",-0.1982,43,597,0.0672,8
debt_to_income,"(0.00385, 0.606]",-0.0476,2376,28375,0.0773,7
debt_to_income,"(0.606, 1.441]",-0.0264,2423,28328,0.0788,7
debt_to_income,"(1.441, 2.666]",0.0671,2640,28112,0.0858,7
debt_to_income,"(2.666, 4.617]",0.1063,2736,28014,0.089,7
debt_to_income,"(4.617, 8.315]",0.148,2842,27909,0.0924,7
debt_to_income,"(8.315, 1651.844]",0.1577,2867,27884,0.0932,7
credit_to_income,"(0.00381, 1.332]",-0.1683,2125,28634,0.0691,7
credit_to_income,"(1.332, 1.818]",-0.0427,2389,28391,0.0776,7
credit_to_income,"(1.818, 2.266]",0.0053,2493,28237,0.0811,7
credit_to_income,"(2.266, 2.764]",0.1214,2776,27996,0.0902,7
credit_to_income,"(2.764, 3.265]",0.0759,2659,28066,0.0865,7
credit_to_income,"(3.265, 3.906]",0.1426,2827,27914,0.092,8
credit_to_income,"(3.906, 4.725]",0.0711,2650,28104,0.0862,7
credit_to_income,"(4.725, 5.769]",-0.0165,2445,28306,0.0795,7
credit_to_income,"(5.769, 7.488]",-0.0883,2293,28522,0.0744,7
credit_to_income,"(7.488, 84.737]",-0.1442,2168,28516,0.0707,7
bur_debt_to_current_credit,"(-7.849, 0.0]",-0.1132,8898,113467,0.0727,7
bur_debt_to_current_credit,"(0.0, 0.00108]",-0.2756,40,600,0.0625,7
bur_debt_to_current_credit,"(0.00108, 0.175]",-0.0744,2318,28433,0.0754,7
bur_debt_to_current_credit,"(0.175, 0.419]",-0.0112,2457,28294,0.0799,7
bur_debt_to_current_credit,"(0.419, 0.793]",0.0799,2671,28080,0.0869,7
bur_debt_to_current_credit,"(0.793, 1.476]",0.1277,2790,27961,0.0907,7
bur_debt_to_current_credit,"(1.476, 3.116]",0.2145,3018,27733,0.0981,8
bur_debt_to_current_credit,"(3.116, 353.966]",0.0642,2633,28118,0.0856,7
annuity_to_income,"(-0.001, 0.08]",-0.134,2258,29399,0.0713,8
annuity_to_income,"(0.08, 0.104]",-0.1143,2168,27678,0.0726,8
annuity_to_income,"(0.104, 0.125]",-0.035,2405,28361,0.0782,7
annuity_to_income,"(0.125, 0.144]",-0.0313,2412,28338,0.0784,7
annuity_to_income,"(0.144, 0.163]",-0.0266,2423,28334,0.0788,7
annuity_to_income,"(0.163, 0.186]",0.0399,2574,28163,0.0837,7
annuity_to_income,"(0.186, 0.213]",0.0611,2627,28141,0.0854,7
annuity_to_income,"(0.213, 0.247]",0.1009,2723,28031,0.0885,7
annuity_to_income,"(0.247, 0.302]",0.0991,2716,28010,0.0884,7
annuity_to_income,"(0.302, 1.876]",0.0159,2519,28231,0.0819,7
cc_avg_balance_6m,"(-0.001, 15400.35]",-0.08,20754,256006,0.075,7
cc_avg_balance_6m,"(15400.35, 950495.062]",0.5525,4071,26680,0.1324,7
late_payment_debt_burden,"(-204875.22, 0.0]",-0.1145,15307,195442,0.0726,7
late_payment_debt_burden,"(0.0, 1538.491]",-0.2413,291,4218,0.0645,7
late_payment_debt_burden,"(1538.491, 20184.98]",0.0811,2674,28077,0.087,7
late_payment_debt_burden,"(20184.98, 80778.727]",0.2485,3112,27639,0.1012,7
late_payment_debt_burden,"(80778.727, 26667044.0]",0.361,3441,27310,0.1119,7
EXT_SOURCES_MEAN,"(0.022699999999999998, 0.367]",1.2,6942,23810,0.2257,10
EXT_SOURCES_MEAN,"(0.367, 0.421]",0.6381,4383,26368,0.1425,9
EXT_SOURCES_MEAN,"(0.421, 0.46]",0.3045,3272,27479,0.1064,8
EXT_SOURCES_MEAN,"(0.46, 0.493]",0.0206,2530,28221,0.0823,7
EXT_SOURCES_MEAN,"(0.493, 0.522]",-0.1895,2083,28668,0.0677,7
EXT_SOURCES_MEAN,"(0.522, 0.548]",-0.3656,1766,28985,0.0574,6
EXT_SOURCES_MEAN,"(0.548, 0.574]",-0.5889,1429,29322,0.0465,6
EXT_SOURCES_MEAN,"(0.574, 0.602]",-0.8981,1062,29689,0.0345,5
EXT_SOURCES_MEAN,"(0.602, 0.642]",-1.1512,831,29920,0.027,5
EXT_SOURCES_MEAN,"(0.642, 0.853]",-1.6167,527,30224,0.0171,3
EXT_SOURCES_STD,"(-0.0007390000000000001, 0.0506]",-0.1357,2190,28562,0.0712,7
EXT_SOURCES_STD,"(0.0506, 0.0756]",-0.2811,1912,28839,0.0622,6
EXT_SOURCES_STD,"(0.0756, 0.0955]",-0.3122,1857,28894,0.0604,6
EXT_SOURCES_STD,"(0.0955, 0.113]",-0.3584,1778,28973,0.0578,6
EXT_SOURCES_STD,"(0.113, 0.131]",-0.3394,1810,28941,0.0589,6
EXT_SOURCES_STD,"(0.131, 0.15]",-0.2082,2047,28704,0.0666,6
EXT_SOURCES_STD,"(0.15, 0.175]",0.005,2494,28257,0.0811,7
EXT_SOURCES_STD,"(0.175, 0.206]",0.2207,3035,27716,0.0987,8
EXT_SOURCES_STD,"(0.206, 0.249]",0.4774,3813,26938,0.124,10
EXT_SOURCES_STD,"(0.249, 0.487]",0.4999,3889,26862,0.1265,10
EXT_SOURCES_MIN,"(-0.0009999183, 0.144]",1.1214,6543,24276,0.2123,20
EXT_SOURCES_MIN,"(0.144, 0.22]",0.5445,4034,26650,0.1315,13
EXT_SOURCES_MIN,"(0.22, 0.282]",0.2835,3212,27546,0.1044,10
EXT_SOURCES_MIN,"(0.282, 0.344]",0.032,2556,28189,0.0831,8
EXT_SOURCES_MIN,"(0.344, 0.403]",-0.17,2121,28629,0.069,5
EXT_SOURCES_MIN,"(0.403, 0.464]",-0.3813,1740,29011,0.0566,3
EXT_SOURCES_MIN,"(0.464, 0.506]",-0.6878,3880,87890,0.0423,0
EXT_SOURCES_MIN,"(0.506, 0.508]",-1.1648,16,584,0.0267,-6
EXT_SOURCES_MIN,"(0.508, 0.807]",-1.2901,723,29911,0.0236,-7
LOAN_PAYMENT_LENGTH,"(6.324, 10.516]",-0.5476,1487,29278,0.0483,8
LOAN_PAYMENT_LENGTH,"(10.516, 14.63]",0.3736,3479,27266,0.1132,7
LOAN_PAYMENT_LENGTH,"(14.63, 17.768]",0.2348,3078,27715,0.1,7
LOAN_PAYMENT_LENGTH,"(17.768, 19.536]",0.2234,3042,27705,0.0989,7
LOAN_PAYMENT_LENGTH,"(19.536, 20.0]",-0.3222,2038,32030,0.0598,8
LOAN_PAYMENT_LENGTH,"(20.0, 22.01]",0.6396,3909,23481,0.1427,6
LOAN_PAYMENT_LENGTH,"(22.01, 25.214]",-0.5076,1544,29210,0.0502,8
LOAN_PAYMENT_LENGTH,"(25.214, 30.143]",-0.1033,2276,28737,0.0734,8
LOAN_PAYMENT_LENGTH,"(30.143, 34.063]",-0.1332,2243,29181,0.0714,8
LOAN_PAYMENT_LENGTH,"(34.063, 59.56]",-0.3551,1729,28083,0.058,8
DAYS_EMPLOYED_ANOMALY,"(-0.001, 1.0]",0.0,24825,282686,0.0807,7
